customer_id,customer_name,row_id,order_id,order_date,order_priority,year,weeknum,ship_date,ship_mode,shipping_cost,segment,country,city,state,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,market,market2
JM-155804,Jill Matthias,36676,CA-2013-136021,2013-08-15,High,2013,33,2013-08-19,Standard Class,2.15,Consumer,United States,Los Angeles,California,West,OFF-PA-10000551,Office Supplies,Paper,Array Memo Cubes,16,3,0.0,7.6146,US,North America
BD-113204,Bill Donatelli,40194,CA-2013-167241,2013-08-16,Low,2013,33,2013-08-23,Standard Class,4.05,Consumer,United States,Los Angeles,California,West,OFF-PA-10004911,Office Supplies,Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",38,4,0.0,18.0096,US,North America
PS-187604,Pamela Stobb,32979,US-2013-101497,2013-09-30,High,2013,40,2013-10-02,Second Class,1.89,Consumer,United States,Los Angeles,California,West,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,19,1,0.0,9.1056,US,North America
CC-124754,Cindy Chapman,36300,CA-2013-155033,2013-10-08,High,2013,41,2013-10-13,Standard Class,1.61,Consumer,United States,Los Angeles,California,West,OFF-PA-10000143,Office Supplies,Paper,Astroparche Fine Business Paper,11,2,0.0,5.0688,US,North America
JE-157454,Joel Eaton,36803,US-2013-162026,2013-10-09,Critical,2013,41,2013-10-09,Same Day,3.0,Consumer,United States,Los Angeles,California,West,OFF-PA-10000167,Office Supplies,Paper,Xerox 1925,62,2,0.0,27.882,US,North America
XP-218654,Xylona Preis,35783,CA-2013-109365,2013-11-04,Medium,2013,45,2013-11-09,Standard Class,22.15,Consumer,United States,Los Angeles,California,West,OFF-PA-10004359,Office Supplies,Paper,Multicolor Computer Printout Paper,315,3,0.0,150.984,US,North America
XP-218654,Xylona Preis,35780,CA-2013-109365,2013-11-04,Medium,2013,45,2013-11-09,Standard Class,5.57,Consumer,United States,Los Angeles,California,West,OFF-PA-10001725,Office Supplies,Paper,Xerox 1892,116,3,0.0,56.9772,US,North America
XP-218654,Xylona Preis,35782,CA-2013-109365,2013-11-04,Medium,2013,45,2013-11-09,Standard Class,1.3,Consumer,United States,Los Angeles,California,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,19,3,0.0,9.3312,US,North America
AI-108554,Arianne Irving,36338,CA-2013-158694,2013-11-11,High,2013,46,2013-11-14,Second Class,10.83,Consumer,United States,Los Angeles,California,West,OFF-PA-10002421,Office Supplies,Paper,Embossed Ink Jet Note Cards,68,3,0.0,32.5008,US,North America
AI-108554,Arianne Irving,36341,CA-2013-158694,2013-11-11,High,2013,46,2013-11-14,Second Class,8.68,Consumer,United States,Los Angeles,California,West,OFF-PA-10001363,Office Supplies,Paper,Xerox 1933,61,5,0.0,28.858,US,North America
SO-203354,Sean O'Donnell,38276,CA-2014-149076,2014-01-15,Medium,2014,3,2014-01-20,Standard Class,9.12,Consumer,United States,Los Angeles,California,West,OFF-PA-10000483,Office Supplies,Paper,Xerox 19,155,5,0.0,69.705,US,North America
CK-125954,Clytie Kelty,33379,CA-2014-104647,2014-02-24,Medium,2014,9,2014-03-02,Standard Class,3.82,Consumer,United States,Los Angeles,California,West,OFF-PA-10002870,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",37,6,0.0,16.848,US,North America
PS-187604,Pamela Stobb,38154,CA-2014-128965,2014-04-18,Medium,2014,16,2014-04-23,Standard Class,2.84,Consumer,United States,Los Angeles,California,West,OFF-PA-10004911,Office Supplies,Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",28,3,0.0,13.5072,US,North America
LL-168404,Lauren Leatherbury,38184,CA-2014-120222,2014-04-26,Medium,2014,17,2014-05-03,Standard Class,1.52,Consumer,United States,Los Angeles,California,West,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19,3,0.0,8.763,US,North America
DD-135704,Dorothy Dickinson,38689,CA-2014-147844,2014-05-03,Medium,2014,18,2014-05-07,Standard Class,0.93,Consumer,United States,Los Angeles,California,West,OFF-PA-10003016,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",16,5,0.0,7.065,US,North America
DD-135704,Dorothy Dickinson,38691,CA-2014-147844,2014-05-03,Medium,2014,18,2014-05-07,Standard Class,2.54,Consumer,United States,Los Angeles,California,West,OFF-PA-10002713,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",34,5,0.0,15.824,US,North America
DV-134654,Dianna Vittorini,32865,US-2014-152002,2014-06-12,Medium,2014,24,2014-06-12,Same Day,23.65,Consumer,United States,Los Angeles,California,West,OFF-PA-10000357,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",123,3,0.0,60.2553,US,North America
CC-126704,Craig Carreira,35793,CA-2014-112753,2014-06-19,High,2014,25,2014-06-24,Standard Class,4.89,Consumer,United States,Los Angeles,California,West,OFF-PA-10002036,Office Supplies,Paper,Xerox 1930,39,6,0.0,19.0512,US,North America
TT-212204,Thomas Thornton,39414,US-2014-113201,2014-07-01,Medium,2014,27,2014-07-06,Standard Class,14.98,Consumer,United States,Los Angeles,California,West,OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,205,5,0.0,100.4255,US,North America
TB-215204,Tracy Blumstein,40527,CA-2014-133718,2014-07-24,Critical,2014,30,2014-07-27,First Class,7.82,Consumer,United States,Los Angeles,California,West,OFF-PA-10002689,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),58,9,0.0,27.9936,US,North America
KT-164804,Kean Thornton,39039,CA-2014-105326,2014-08-21,Medium,2014,34,2014-08-28,Standard Class,1.27,Consumer,United States,Los Angeles,California,West,OFF-PA-10001639,Office Supplies,Paper,Xerox 203,26,4,0.0,12.4416,US,North America
LC-170504,Liz Carlisle,36877,CA-2014-137498,2014-09-10,Medium,2014,37,2014-09-15,Second Class,5.29,Consumer,United States,Los Angeles,California,West,OFF-PA-10000143,Office Supplies,Paper,Astroparche Fine Business Paper,48,9,0.0,22.8096,US,North America
JM-158654,John Murray,36521,US-2014-109582,2014-09-13,Medium,2014,37,2014-09-18,Second Class,11.1,Consumer,United States,Los Angeles,California,West,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",166,3,0.0,79.8912,US,North America
DB-136604,Duane Benoit,40620,CA-2014-121853,2014-09-24,Medium,2014,39,2014-09-30,Standard Class,15.64,Consumer,United States,Los Angeles,California,West,OFF-PA-10003641,Office Supplies,Paper,Xerox 1909,211,8,0.0,97.0784,US,North America
XP-218654,Xylona Preis,36555,US-2014-115595,2014-10-10,Medium,2014,41,2014-10-12,First Class,7.79,Consumer,United States,Los Angeles,California,West,OFF-PA-10001745,Office Supplies,Paper,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",35,5,0.0,16.544,US,North America
GA-147254,Guy Armstrong,34133,CA-2014-110842,2014-11-12,Medium,2014,46,2014-11-17,Standard Class,1.43,Consumer,United States,Los Angeles,California,West,OFF-PA-10000520,Office Supplies,Paper,Xerox 201,19,3,0.0,9.3312,US,North America
EP-139154,Emily Phan,40935,US-2014-125808,2014-11-13,High,2014,46,2014-11-16,Second Class,1.71,Consumer,United States,Los Angeles,California,West,OFF-PA-10001846,Office Supplies,Paper,Xerox 1899,12,2,0.0,5.6644,US,North America
CC-125504,Clay Cheatham,34853,CA-2014-118542,2014-12-02,Medium,2014,49,2014-12-06,Standard Class,3.56,Consumer,United States,Los Angeles,California,West,OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,45,7,0.0,21.7728,US,North America
EP-139154,Emily Phan,34184,CA-2014-102099,2014-12-19,Medium,2014,51,2014-12-20,First Class,0.94,Consumer,United States,Los Angeles,California,West,OFF-PA-10003172,Office Supplies,Paper,Xerox 1996,13,2,0.0,6.2208,US,North America
EP-139154,Emily Phan,34185,CA-2014-102099,2014-12-19,Medium,2014,51,2014-12-20,First Class,1.09,Consumer,United States,Los Angeles,California,West,OFF-PA-10000289,Office Supplies,Paper,Xerox 213,32,5,0.0,15.552,US,North America
SR-207404,Steven Roelle,39800,CA-2011-164903,2011-02-21,High,2011,9,2011-02-25,Standard Class,1.14,Home Office,United States,Los Angeles,California,West,OFF-PA-10003363,Office Supplies,Paper,Xerox 204,13,2,0.0,6.2208,US,North America
AY-105554,Andy Yotov,37315,CA-2011-102652,2011-04-06,Medium,2011,15,2011-04-12,Standard Class,2.28,Corporate,United States,Los Angeles,California,West,OFF-PA-10001977,Office Supplies,Paper,Xerox 194,55,1,0.0,26.6304,US,North America
AY-105554,Andy Yotov,37314,CA-2011-102652,2011-04-06,Medium,2011,15,2011-04-12,Standard Class,2.11,Corporate,United States,Los Angeles,California,West,OFF-PA-10003309,Office Supplies,Paper,Xerox 211,19,3,0.0,9.3312,US,North America
AH-100304,Aaron Hawkins,36652,CA-2011-113768,2011-05-13,Medium,2011,20,2011-05-19,Standard Class,0.15,Corporate,United States,Los Angeles,California,West,OFF-PA-10003063,Office Supplies,Paper,EcoTones Memo Sheets,8,2,0.0,3.84,US,North America
VF-217154,Vicky Freymann,34943,CA-2011-146528,2011-07-25,High,2011,31,2011-07-27,Second Class,0.79,Home Office,United States,Los Angeles,California,West,OFF-PA-10002195,Office Supplies,Paper,Xerox 1966,6,1,0.0,3.1752,US,North America
JM-152654,Janet Molinari,37242,CA-2011-104178,2011-08-25,High,2011,35,2011-08-29,Standard Class,3.11,Corporate,United States,Los Angeles,California,West,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,26,4,0.0,12.4416,US,North America
GG-146504,Greg Guthrie,33359,CA-2011-106439,2011-10-31,High,2011,45,2011-11-04,Standard Class,6.72,Corporate,United States,Los Angeles,California,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 1952,65,13,0.0,30.4278,US,North America
PL-189254,Paul Lucas,37193,CA-2011-168305,2011-11-01,Medium,2011,45,2011-11-08,Standard Class,0.92,Home Office,United States,Los Angeles,California,West,OFF-PA-10004947,Office Supplies,Paper,Staples,21,5,0.0,9.63,US,North America
MA-175604,Matt Abelman,37260,CA-2011-140732,2011-11-11,High,2011,46,2011-11-13,Second Class,27.69,Home Office,United States,Los Angeles,California,West,OFF-PA-10003625,Office Supplies,Paper,Xerox 1979,124,4,0.0,55.764,US,North America
MC-181304,Mike Caudle,35831,CA-2012-163104,2012-03-19,Medium,2012,12,2012-03-26,Standard Class,1.2,Corporate,United States,Los Angeles,California,West,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,12,2,0.0,5.8604,US,North America
AM-103604,Alice McCarthy,40176,US-2012-107944,2012-03-23,High,2012,12,2012-03-25,First Class,27.31,Corporate,United States,Los Angeles,California,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",193,11,0.0,92.5056,US,North America
BP-110954,Bart Pistole,39263,CA-2012-138219,2012-03-23,Medium,2012,12,2012-03-30,Standard Class,2.16,Corporate,United States,Los Angeles,California,West,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",33,4,0.0,16.68,US,North America
DE-132554,Deanra Eno,36017,CA-2012-142601,2012-04-18,Medium,2012,16,2012-04-20,Second Class,8.38,Home Office,United States,Los Angeles,California,West,OFF-PA-10000483,Office Supplies,Paper,Xerox 19,62,2,0.0,27.882,US,North America
AJ-107804,Anthony Jacobs,40347,CA-2012-165554,2012-05-18,Medium,2012,20,2012-05-22,Standard Class,1.0,Corporate,United States,Los Angeles,California,West,OFF-PA-10003724,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",11,2,0.0,5.3214,US,North America
CG-120404,Catherine Glotzbach,40861,CA-2012-161242,2012-06-01,Medium,2012,22,2012-06-08,Standard Class,0.82,Home Office,United States,Los Angeles,California,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",12,2,0.0,5.7624,US,North America
MO-178004,Meg O'Connel,32312,CA-2012-133025,2012-09-17,Critical,2012,38,2012-09-19,Second Class,7.02,Home Office,United States,Los Angeles,California,West,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,32,5,0.0,15.552,US,North America
RW-195404,Rick Wilson,37465,CA-2012-132815,2012-09-19,High,2012,38,2012-09-22,Second Class,3.62,Corporate,United States,Los Angeles,California,West,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,23,2,0.0,11.2504,US,North America
YC-218954,Yoseph Carroll,33985,CA-2012-153220,2012-11-12,High,2012,46,2012-11-14,First Class,3.41,Corporate,United States,Los Angeles,California,West,OFF-PA-10003016,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",16,5,0.0,7.065,US,North America
SN-207104,Steve Nguyen,35635,CA-2012-125234,2012-11-27,Medium,2012,48,2012-12-01,Standard Class,9.19,Home Office,United States,Los Angeles,California,West,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",114,3,0.0,53.4954,US,North America
DB-129703,Darren Budd,41250,CA-2012-141593,2012-12-14,High,2012,50,2012-12-16,Second Class,1.31,Corporate,United States,Los Angeles,California,West,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,6,1,0.0,3.1104,US,North America
SM-203204,Sean Miller,39150,CA-2012-144890,2012-12-25,Medium,2012,52,2012-12-29,Standard Class,0.22,Home Office,United States,Los Angeles,California,West,OFF-PA-10001526,Office Supplies,Paper,Xerox 1949,10,2,0.0,4.8804,US,North America
SC-200504,Sample Company A,36296,CA-2013-129238,2013-01-31,Medium,2013,5,2013-02-04,Standard Class,4.73,Home Office,United States,Los Angeles,California,West,OFF-PA-10002764,Office Supplies,Paper,Staples,57,5,0.0,27.783,US,North America
SM-209504,Suzanne McNair,39700,CA-2013-154067,2013-02-01,Medium,2013,5,2013-02-07,Standard Class,8.11,Corporate,United States,Los Angeles,California,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,106,4,0.0,48.5392,US,North America
RD-198104,Ross DeVincentis,32017,CA-2013-112942,2013-02-13,Medium,2013,7,2013-02-18,Standard Class,8.08,Home Office,United States,Los Angeles,California,West,OFF-PA-10004092,Office Supplies,Paper,Tops Green Bar Computer Printout Paper,147,3,0.0,73.41,US,North America
KF-162854,Karen Ferguson,37310,CA-2013-159016,2013-03-11,High,2013,11,2013-03-12,First Class,2.67,Home Office,United States,Los Angeles,California,West,OFF-PA-10004405,Office Supplies,Paper,Rediform Voice Mail Log Books,15,5,0.0,7.152,US,North America
RS-194204,Ricardo Sperren,38143,US-2013-159093,2013-05-10,Medium,2013,19,2013-05-15,Standard Class,1.48,Corporate,United States,Los Angeles,California,West,OFF-PA-10001260,Office Supplies,Paper,"TOPS Money Receipt Book, Consecutively Numbered in Red,",32,4,0.0,14.418,US,North America
NL-183104,Nancy Lomonaco,38363,CA-2013-147473,2013-05-31,Medium,2013,22,2013-06-04,Standard Class,2.81,Home Office,United States,Los Angeles,California,West,OFF-PA-10004782,Office Supplies,Paper,Xerox 228,39,6,0.0,18.6624,US,North America
RB-197954,Ross Baird,40417,US-2013-155971,2013-06-07,Medium,2013,23,2013-06-13,Standard Class,4.9,Home Office,United States,Los Angeles,California,West,OFF-PA-10000210,Office Supplies,Paper,Xerox Blank Computer Paper,100,5,0.0,46.953,US,North America
AH-100754,Adam Hart,39985,CA-2013-144015,2013-06-27,Critical,2013,26,2013-06-27,Same Day,2.73,Corporate,United States,Los Angeles,California,West,OFF-PA-10002870,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",12,2,0.0,5.616,US,North America
SC-202304,Scot Coram,38167,US-2013-126452,2013-08-22,Low,2013,34,2013-08-29,Standard Class,3.43,Corporate,United States,Los Angeles,California,West,OFF-PA-10002606,Office Supplies,Paper,Xerox 1928,48,9,0.0,21.384,US,North America
SC-202304,Scot Coram,38166,US-2013-126452,2013-08-22,Low,2013,34,2013-08-29,Standard Class,1.16,Corporate,United States,Los Angeles,California,West,OFF-PA-10003848,Office Supplies,Paper,Xerox 1997,13,2,0.0,6.2208,US,North America
JS-156854,Jim Sink,31388,CA-2013-109806,2013-09-18,Medium,2013,38,2013-09-23,Standard Class,0.52,Corporate,United States,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6,1,0.0,3.1104,US,North America
